Agent_ID,Kick_Time,Bearing_To_Focal,vx,vy
5,83.08,3.844875991,0.267,0.0198
4,83.08,3.98350296,0.1613,0.0376
3,83.72,0.0,0.0211,0.1574
2,83.72,4.107713315,0.0844,0.0727
1,83.72,4.408307634,0.0641,0.1215
4,83.72,4.681990607,0.0734,0.0762
5,83.72,4.768445299,0.073,0.1286
3,84.08,0.0,-0.0406,0.0643
2,84.08,4.563735272,0.037,0.0631
4,84.08,5.008191762,0.0107,0.0551
1,84.08,5.184048071,0.0082,0.0762
5,84.08,5.289306286,0.0019,0.0625
3,85.4,0.0,-0.1935,0.0871
2,85.4,5.541238039,-0.1154,0.1803
4,85.4,5.723239082,-0.0737,0.1365
5,85.4,6.196820591,-0.1706,0.1524
1,85.4,6.233467084,-0.0968,0.1356
3,87.44,0.0,-0.1029,-0.0431
2,87.44,4.070793291,-0.2284,-0.0839
1,87.44,4.090952129,-0.256,-0.0767
5,87.44,4.090952129,-0.2007,-0.0769
4,87.44,5.27577704,-0.2365,0.009
3,88.16,0.0,-0.0005,-0.0007
5,88.16,4.016157722,-0.027,-0.0267
1,88.16,4.245757578,-0.0192,-0.0546
2,88.16,4.491676633,0.0349,-0.0584
4,88.16,4.839706698,-0.0235,-0.0272
3,88.64,0.0,-0.0139,-0.0743
5,88.64,3.476658845,-0.006,-0.0249
1,88.64,4.35223881,0.0034,-0.06
2,88.64,4.765520315,0.0254,-0.0294
4,88.64,5.107492861,0.0044,-0.0635
3,89.8,0.0,0.0193,-0.2242
4,89.8,1.24426112,0.0015,-0.1248
2,89.8,1.321833621,0.0362,-0.0304
5,89.8,2.055774034,-0.0118,-0.0594
1,89.8,2.438243377,-0.0041,-0.0996
3,90.2,0.0,0.0389,-0.028
2,90.2,1.595247974,0.0137,-0.0061
5,90.2,2.17070313,0.0487,-0.0764
4,90.2,2.215859121,0.0052,-0.0286
1,90.2,2.508724728,0.0194,-0.0198
3,90.92,0.0,0.1675,-0.0063
2,90.92,2.515013522,0.0735,-0.0467
5,90.92,2.866418559,0.164,-0.086
1,90.92,3.043058913,0.1007,-0.0459
4,90.92,3.459855864,0.1217,-0.0597
3,91.76,0.0,0.1431,0.1206
2,91.76,3.281592177,0.1291,0.035
1,91.76,3.783922955,0.1596,0.0147
5,91.76,3.964148428,0.1632,0.0445
4,91.76,4.173399722,0.1443,0.0301
3,92.24,0.0,-0.0058,0.1247
2,92.24,3.731401614,0.0411,0.0976
1,92.24,4.298561607,0.0588,0.0836
5,92.24,4.543098468,0.0353,0.1179
4,92.24,4.653633158,0.0519,0.0679
3,92.84,0.0,-0.0624,0.0893
2,92.84,3.610674992,-0.0353,0.1134
1,92.84,4.657398605,-0.0093,0.1244
