Agent_ID,Kick_Time,Distance_To_Focal,vx,vy
4,48.24,0.061111046,-0.0097,-0.0728
5,48.24,0.061200082,-0.0224,-0.0892
2,48.24,0.064202804,-0.0281,-0.0475
1,48.24,0.08638802,-0.0101,-0.1053
3,48.84,0.0,0.0171,-0.0709
5,48.84,0.066336792,0.0463,-0.0879
4,48.84,0.066474807,0.0164,-0.0554
2,48.84,0.067120861,0.0304,-0.0999
1,48.84,0.082838699,0.0368,-0.0866
3,49.52,0.0,0.048,-0.082
4,49.52,0.025035175,0.0907,-0.1265
5,49.52,0.025035175,0.0376,-0.0335
2,49.52,0.061229486,0.0613,-0.0857
1,49.52,0.064580492,0.1061,-0.081
3,50.2,0.0,0.0666,-0.0531
4,50.2,0.038142496,0.1227,-0.0375
5,50.2,0.048704928,0.0375,-0.0481
1,50.2,0.061378335,0.1027,-0.0326
2,50.2,0.078921227,0.0284,-0.032
3,50.84,0.0,0.1096,-0.0117
4,50.84,0.024745505,0.0612,0.0126
5,50.84,0.039527332,0.1288,-0.0273
1,50.84,0.044290179,0.1106,0.0361
2,50.84,0.074308613,0.1101,0.0029
3,51.68,0.0,0.1081,0.0875
5,51.68,0.02387572,0.1134,0.1078
4,51.68,0.053272225,0.0937,0.1122
1,51.68,0.058544428,0.0931,0.1342
2,51.68,0.075288379,0.1163,0.0634
3,52.6,0.0,-0.0036,0.1258
2,52.6,0.073474349,0.0053,0.2121
1,52.6,0.078279627,-0.0274,0.1531
5,52.6,0.11059245,-0.0172,0.238
4,52.6,0.148553458,-0.0587,0.2039
3,53.0,0.0,-0.0303,0.0313
1,53.0,0.095221899,-0.0531,0.0468
2,53.0,0.11063946,-0.066,0.0457
5,53.0,0.137742441,-0.0774,0.0365
4,53.0,0.181726938,-0.0787,0.0348
3,54.28,0.0,-0.1424,0.0689
5,54.28,0.072721455,-0.0996,0.0196
1,54.28,0.088629171,-0.1377,0.063
2,54.28,0.100299003,-0.1351,0.0612
4,54.28,0.129630629,-0.1329,-0.0078
3,54.84,0.0,-0.0342,0.0047
5,54.84,0.064399146,-0.0223,0.002
1,54.84,0.086403704,-0.0726,-0.0134
2,54.84,0.113827413,-0.0358,0.025
4,54.84,0.137722184,-0.0531,-0.0416
3,55.44,0.0,-0.0726,-0.0235
5,55.44,0.06041523,-0.103,-0.0942
1,55.44,0.071860142,-0.0846,-0.0589
2,55.44,0.086921114,-0.0386,-0.0285
4,55.44,0.10502314,-0.0319,-0.0698
3,56.6,0.0,-0.0484,-0.1556
2,56.6,0.065887783,-0.0472,-0.1832
1,56.6,0.067577881,-0.0493,-0.2112
4,56.6,0.067577881,-0.0156,-0.1365
5,56.6,0.067577881,-0.0535,-0.164
3,57.32,0.0,-0.0225,-0.0243
1,57.32,0.03178443,0.0512,-0.0332
2,57.32,0.048464523,-0.0128,-0.0405
4,57.32,0.050253856,0.0223,-0.0493
5,57.32,0.056046142,0.0175,-0.0535
3,58.56,0.0,0.0267,-0.0865
5,58.56,0.016211724,0.0527,-0.052
4,58.56,0.017940178,0.0316,-0.0294
1,58.56,0.042128494,0.0287,-0.0157
2,58.56,0.054618129,0.0421,-0.0642
3,59.12,0.0,0.0123,-0.0095
1,59.12,0.049645644,0.0045,-0.0005
4,59.12,0.052049976,0.0781,-0.0284
2,59.12,0.064781556,0.1006,-0.0419
5,59.12,0.068551951,0.076,-0.0133
3,59.6,0.0,0.0101,-0.0129
5,59.6,0.058256845,0.0014,-0.0055
1,59.6,0.06146381,0.0035,-0.001
4,59.6,0.088566021,0.0462,-0.0184
2,59.6,0.107046018,0.0534,-0.0146
3,60.24,0.0,0.0203,-0.0223
5,60.24,0.03911841,0.0025,-0.0086
4,60.24,0.082917429,0.0157,-0.0103
1,60.24,0.085449049,0.0016,-0.001
2,60.24,0.103359276,0.0167,-0.0232
3,61.12,0.0,0.0252,-0.0107
1,61.12,0.073575336,0.086,-0.0312
4,61.12,0.081224627,0.0235,-0.007
5,61.12,0.095963795,0.0809,-0.0268
2,61.12,0.10940457,0.0321,-0.025
3,62.6,0.0,0.1644,0.0456
5,62.6,0.024712143,0.0626,0.0368
4,62.6,0.046311338,0.0967,0.0879
2,62.6,0.077791323,0.1275,0.0748
1,62.6,0.100842154,0.1766,0.0701
3,63.28,0.0,0.0774,0.1333
2,63.28,0.036323271,0.0406,0.1118
4,63.28,0.069780226,0.0207,0.0342
1,63.28,0.074916554,0.0466,0.1186
5,63.28,0.153127039,0.0154,0.0203
3,64.64,0.0,-0.1353,0.2108
1,64.64,0.03875358,-0.129,0.1666
2,64.64,0.063919089,-0.1079,0.2143
4,64.64,0.074226949,-0.0901,0.1914
5,64.64,0.143519337,-0.0229,0.2107
3,65.52,0.0,-0.0229,0.0331
2,65.52,0.025471945,-0.1059,0.0388
4,65.52,0.049712071,-0.0604,0.0725
5,65.52,0.071118282,-0.0622,0.0989
1,65.52,0.081284808,-0.1308,-0.0026
3,67.2,0.0,-0.1719,-0.1257
2,67.2,0.016860012,-0.1621,-0.1281
4,67.2,0.039560207,-0.149,-0.1284
1,67.2,0.050629636,-0.1366,-0.0958
5,67.2,0.050629636,-0.2216,-0.0327
3,67.92,0.0,-0.0481,-0.0175
2,67.92,0.0,-0.038,-0.031
5,67.92,0.028508595,-0.0032,-0.011
4,67.92,0.065412078,-0.0162,-0.0425
1,67.92,0.072735136,0.0199,0.0297
3,68.8,0.0,-0.0226,-0.0301
5,68.8,0.044409121,-0.0018,-0.019
2,68.8,0.082617492,0.0208,-0.1004
1,68.8,0.087283504,0.0279,-0.0513
4,68.8,0.145191081,0.0539,-0.0767
3,69.32,0.0,0.0099,-0.0384
5,69.32,0.070954633,0.0014,-0.008
2,69.32,0.082252599,0.0235,-0.0274
1,69.32,0.111390574,0.0125,-0.0045
4,69.32,0.147811772,0.0285,-0.0229
3,69.8,0.0,0.0004,-0.0166
5,69.8,0.080283809,0.0031,-0.0076
2,69.8,0.090933382,0.0136,-0.0151
1,69.8,0.12322374,-0.0004,-0.0005
4,69.8,0.155790404,0.0151,-0.0102
3,70.2,0.0,0.0315,-0.0389
2,70.2,0.080521364,0.03,-0.0231
5,70.2,0.113621301,0.002,-0.0053
4,70.2,0.125266835,0.0141,-0.0084
1,70.2,0.141737857,0.0027,-0.0028
3,70.76,0.0,0.0465,-0.0698
2,70.76,0.068213269,0.0415,-0.0522
4,70.76,0.106174244,0.0397,-0.0295
5,70.76,0.111739429,0.0518,-0.0711
1,70.76,0.187458209,0.0083,-0.0166
3,71.36,0.0,0.0412,-0.0436
5,71.36,0.092900484,0.0572,-0.0622
2,71.36,0.098021324,0.0722,-0.0445
4,71.36,0.122476814,0.0584,-0.0176
1,71.36,0.205888149,0.0247,-0.0252
3,72.08,0.0,0.1605,-0.0037
2,72.08,0.072598898,0.138,0.0292
4,72.08,0.072940661,0.1081,0.0082
5,72.08,0.08402095,0.1788,-0.016
1,72.08,0.113776711,0.0918,-0.1261
3,73.0,0.0,0.129,0.1925
2,73.0,0.040734384,0.0773,0.1497
5,73.0,0.046173261,0.102,0.1582
1,73.0,0.061882792,0.1447,0.106
4,73.0,0.073405518,0.0507,0.0981
3,73.56,0.0,-0.0483,0.1019
2,73.56,0.033362254,-0.0538,0.1073
5,73.56,0.03837408,-0.0281,0.0899
1,73.56,0.054062556,-0.0405,0.1077
4,73.56,0.097510666,-0.0029,0.0845
3,74.96,0.0,-0.157,0.0998
1,74.96,0.019654007,-0.1072,0.1164
5,74.96,0.026050912,-0.1487,0.0629
2,74.96,0.0537643,-0.1184,0.1338
4,74.96,0.101663366,-0.0988,0.1539
3,76.96,0.0,-0.1175,-0.0714
1,76.96,0.03251615,-0.1426,-0.1047
4,76.96,0.049907615,-0.1716,-0.0638
2,76.96,0.068291727,-0.1137,-0.0386
5,76.96,0.098739303,-0.181,-0.1599
3,78.32,0.0,-0.0204,0.0031
2,78.32,0.034261494,-0.0442,-0.0406
4,78.32,0.057924088,-0.0745,-0.0247
1,78.32,0.093797921,-0.029,-0.0686
5,78.32,0.132094701,-0.0258,-0.0305
3,79.44,0.0,-0.0105,0.0147
2,79.44,0.081578735,-0.0344,-0.0596
1,79.44,0.126823697,-0.0027,-0.0227
4,79.44,0.167787723,-0.0087,-0.0963
5,79.44,0.207933571,0.0139,-0.0675
