Model,Fitness EA,Weighs,Bias_Mode,Cosine,MSE Kicktime,MSE_Trajectory,Sorted Velocity Criteria
bearing_mse_trajectory_results_bias_wall_zone_repulsion_alignment_domain,1.1469175755203025,"(0.00788435989071253, 0.25125752636873316, 0.24530084765518814, 0.2594997239826703, 0.23585824604698283, -0.00019929605571301318)",bias_wall_zone_bias_wall_zone_repulsion_alignment_domain,20.286499999999982,0.548105105048707,1.1469175742714293,bearing
bearing_cosine_results_bias_zero,18.13570000000001,"(0.007700628941648685, 0.32335469519884796, -0.14332384884095334, 0.23555060331094813, 0.29007022370760194)",bias_zero_None,18.13570000000001,0.8326485699003495,18.783852276490027,bearing
bearing_mse_kicktime_results_bias_zero,0.5308630286591303,"(-0.024179643594570668, 0.3192646185929122, 0.2139123598432035, 0.13502998652869425, 0.3076133914406193)",bias_zero_None,20.532000000000007,0.5308630286840236,2.4743470701240664,bearing
bearing_mse_trajectory_results_bias_zero,1.121753467342821,"(-0.0021892619806840575, 0.24221826533596802, 0.2583026251548931, 0.24621986119157888, 0.251069986336876)",bias_zero_None,20.374700000000004,0.5447268809263712,1.1217534671439293,bearing
bearing_cosine_results_bias_random,16.93500000000001,"(0.038917674209517805, 0.3884457101533624, 0.11950905499831378, 0.2641116198916961, 0.14217528911210175, -0.046840651635008175)",bias_random_None,20.280599999999996,0.584972757565297,11.399576683391725,bearing
bearing_mse_kicktime_results_bias_random,0.520902949790294,"(-0.0095616942203511, 0.2832376299276743, 0.2386309774195813, 0.16889465598019113, 0.2762328205936546, 0.023442221858547475)",bias_random_None,21.02309999999999,0.5419663914496421,2.3951129184678317,bearing
bearing_mse_trajectory_results_bias_random,1.0659649488933596,"(0.006724571508441144, 0.26632940594054105, 0.22068297273199516, 0.24731622403782275, 0.2413134657624745, -0.01763336001872546)",bias_random_None,20.32299999999999,0.5544799834775671,1.249292433520887,bearing
bearing_cosine_results_bias_wall,18.201200000000007,"(0.03888404452039582, 0.3552834280297492, -0.12856796313687155, 0.23250131946935915, 0.24261996203569186, -0.0021432828079322648)",bias_wall_None,18.201200000000007,0.8055094517149608,17.720077990462006,bearing
bearing_mse_kicktime_results_bias_wall,0.5025004665890139,"(-0.014777351209560283, 0.340183525065644, 0.2106769939944068, 0.12073056153747494, 0.3013789060238045, -0.012252662169109354)",bias_wall_None,23.35860000000002,0.5025004663481304,22.90274328586279,bearing
bearing_mse_trajectory_results_bias_wall,1.1288590770184574,"(-0.011431897872286621, 0.22546808757282127, 0.25450689893591133, 0.245985312226431, 0.2616703901534563, 0.0009374132390935448)",bias_wall_None,20.430899999999994,0.5467263474744171,1.1288591049040542,bearing
bearing_cosine_results_bias_positive,17.115199999999994,"(-0.005151251240238981, 0.3337370304485329, -0.09511816742853463, 0.3276442161642703, 0.23489221838054394, -0.003457116337879208)",bias_positive_None,17.115199999999994,0.7019782397521926,69.56268894345034,bearing
bearing_mse_kicktime_results_bias_positive,0.5310129280295466,"(-0.028534277450157176, 0.30735955564495, 0.20847964467650065, 0.1486886415429458, 0.3065488172128781, -0.0003890634725684122)",bias_positive_None,20.331999999999997,0.5310129279819542,1.3605436149076389,bearing
bearing_mse_trajectory_results_bias_positive,1.4025082345764308,"(0.1952472975377059, 0.24500320699803066, 0.15806486787808333, 0.2058095582070062, 0.1957276289786111, -0.0001474404005629928)",bias_positive_None,22.574300000000008,0.6989753068607775,1.4025082344213418,bearing
bearing_cosine_results_bias_negative,17.114800000000006,"(0.013167856717053988, 0.3316372056545643, -0.10045788880213395, 0.314954297975157, 0.2358425393199911, 0.003940211531099745)",bias_negative_None,17.114800000000006,0.721152320635217,95.14698403081066,bearing
bearing_mse_kicktime_results_bias_negative,0.5307934656923284,"(-0.023716102953960143, 0.3120213757019113, 0.22080538436241492, 0.13633982035626185, 0.306723436049662, 0.0003938805757896833)",bias_negative_None,20.334399999999988,0.5307934657872967,1.2672763034783274,bearing
bearing_mse_trajectory_results_bias_negative,1.5379409909433353,"(0.22062157658290812, 0.1681113205462648, 0.21819351538318246, 0.19158713825876977, 0.20137104876166093, -0.00011540046721395916)",bias_negative_None,23.472900000000003,0.7349088854549578,1.5379409905290544,bearing
