Kick_Time,x,y,vx,vy,vector_x,vector_y,x_wall,y_wall,tangent_x,tangent_y,radius_x,radius_y,wall_distance
107.64,-0.1468,0.1882,-0.0514,-0.0176,,,-0.1537605545225706,0.1971235446944672,-0.7884941787778688,-0.6150422180902824,-0.6150422180902824,0.7884941787778688,0.011317197938351647
108.88,-0.2339,0.0817,-0.0871,-0.1065,,,-0.236016455662864,0.08243926647138088,-0.32975706588552356,-0.9440658226514561,-0.9440658226514567,0.32975706588552195,0.0022418517989771514
110.08,-0.2249,-0.054,0.009,-0.1357,,,-0.24309093744313048,-0.058367766215780555,0.23347106486312225,-0.972363749772522,-0.972363749772522,-0.23347106486312227,0.0187079551735512
110.6,-0.1931,-0.1034,0.0318,-0.0494,,,-0.2203920462013574,-0.11801417699233743,0.47205670796934973,-0.8815681848054296,-0.8815681848054296,-0.47205670796934973,0.030958519910040783
111.24,-0.12,-0.1734,0.0731,-0.07,,,-0.1422655033725981,-0.20557365237340428,0.8222946094936172,-0.5690620134903925,-0.5690620134903924,-0.8222946094936172,0.03912667309495968
111.6,-0.0932,-0.2004,0.0268,-0.027,,,-0.10542403642368112,-0.2266843014946963,0.9067372059787852,-0.42169614569472447,-0.4216961456947244,-0.906737205978785,0.028987783143103157
112.44,0.0083,-0.2188,0.1015,-0.0184,,,0.009476730549627383,-0.24982031858535797,0.999281274341432,0.03790692219850954,0.037906922198509545,-0.9992812743414319,0.03104262971984706
113.04,0.0903,-0.2066,0.082,0.0122,,,0.1001232701054758,-0.22907494577841972,0.9162997831136789,0.4004930804219032,0.4004930804219029,-0.9162997831136791,0.024527939646616065
113.96,0.1314,-0.1386,0.0411,0.068,,,0.1720015048664373,-0.18142624485911885,0.7257049794364754,0.6880060194657492,0.688006019465749,-0.7257049794364755,0.05901329889230508
114.4,0.1573,-0.0703,0.0259,0.0683,,,0.22824297790569453,-0.10200560296738924,0.40802241186955696,0.9129719116227781,0.912971911622778,-0.40802241186955696,0.07770554274730718
114.8,0.171,-0.0237,0.0137,0.0466,,,0.24763292435169335,-0.03432105442769083,0.13728421771076335,0.9905316974067735,0.9905316974067735,-0.13728421771076335,0.07736544378369664
115.36,0.0998,0.1004,-0.0712,0.1241,,,0.17624610348918301,0.17730569930174322,-0.7092227972069729,0.7049844139567321,0.7049844139567321,0.7092227972069729,0.10843658664753805
115.8,0.0581,0.1527,-0.0417,0.0523,,,0.08890337768531521,0.23365827491476135,-0.9346330996590454,0.35561351074126085,0.35561351074126085,0.9346330996590455,0.08662038070799649
117.12,-0.1558,0.0482,-0.2139,-0.1045,,,-0.2388317798159491,0.07388762379415113,-0.29555049517660453,-0.9553271192637964,-0.9553271192637963,0.2955504951766045,0.08691450095118819
118.08,-0.1489,-0.0483,0.0069,-0.0965,,,-0.23780190444324145,-0.07713789109878148,0.30855156439512593,-0.9512076177729658,-0.9512076177729657,-0.30855156439512593,0.09346214515332082
118.92,-0.1811,-0.0923,-0.0322,-0.044,,,-0.22273922115429537,-0.11352197742982585,0.45408790971930346,-0.8909568846171816,-0.8909568846171815,-0.4540879097193036,0.0467353941287367
120.0,-0.0719,-0.1554,0.1092,-0.0631,,,-0.10497745160449606,-0.22689146007425157,0.9075658402970063,-0.41990980641798425,-0.41990980641798425,-0.9075658402970063,0.07877275333639217
120.68,-0.005,-0.1791,0.0669,-0.0237,,,-0.006976622962144292,-0.24990263450400857,0.9996105380160343,-0.02790649184857717,-0.027906491848577162,-0.9996105380160342,0.0708302201820854
121.08,0.0446,-0.166,0.0496,0.0131,,,0.06486817718164528,-0.2414376101379623,0.9657504405518492,0.2594727087265811,0.259472708726581,-0.9657504405518492,0.0781129440591875
122.44,0.1767,0.0772,0.1321,0.2432,,,0.229089888929408,0.10008907428042048,-0.4003562971216819,0.916359555717632,0.9163595557176318,0.4003562971216819,0.05717176036690064
123.56,0.0986,0.1635,-0.0781,0.0863,,,0.12910500477363115,0.2140838568000882,-0.8563354272003528,0.5164200190945246,0.5164200190945245,0.8563354272003528,0.05907014377002218
124.2,-0.0188,0.223,-0.1174,0.0595,,,-0.021001732291279544,0.24911629260400736,-0.9964651704160296,-0.08400692916511819,-0.08400692916511816,0.9964651704160296,0.02620893672892116
124.76,-0.1004,0.2187,-0.0816,-0.0043,,,-0.104303168485835,0.2272022205961366,-0.9088088823845464,-0.41721267394334,-0.41721267394334,0.9088088823845464,0.009355344958588363
125.24,-0.1579,0.1714,-0.0575,-0.0473,,,-0.16938726583910788,0.1838693943307352,-0.7354775773229408,-0.6775490633564315,-0.6775490633564311,0.7354775773229412,0.016954146142867416
125.68,-0.1871,0.1437,-0.0292,-0.0277,,,-0.19827018455280587,0.15227913158865958,-0.6091165263546383,-0.7930807382112235,-0.793080738211223,0.6091165263546389,0.01408454904351858
